class,cap-shape,cap-color,bruises?,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,habitat
e,x,w,t,c,b,k,e,c,w,w,p,w,o,p,k,g
e,b,w,t,c,b,k,e,c,w,w,p,w,o,p,n,m
p,x,n,t,c,n,k,e,e,w,w,p,w,o,p,n,u
p,x,w,t,c,n,k,e,e,w,w,p,w,o,p,k,u
e,b,y,t,c,b,w,e,c,w,w,p,w,o,p,k,m
e,f,g,f,w,b,n,t,e,w,w,p,w,o,e,n,g
e,b,w,t,c,b,w,e,c,w,w,p,w,o,p,n,g
e,x,y,t,c,b,k,e,c,w,w,p,w,o,p,k,g
e,x,n,t,c,b,p,e,r,w,w,p,w,o,p,k,p
e,s,g,f,c,n,k,e,e,w,w,p,w,o,p,n,u
e,b,y,t,c,b,k,e,c,w,w,p,w,o,p,n,m
e,b,y,t,c,b,g,e,c,w,w,p,w,o,p,n,m
e,b,y,t,c,b,g,e,c,w,w,p,w,o,p,n,m
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,n,g
e,f,n,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,x,w,t,c,b,n,e,c,w,w,p,w,o,p,k,g
e,f,y,t,c,b,w,e,r,w,w,p,w,o,p,n,g
e,x,y,t,c,b,w,e,c,w,w,p,w,o,p,k,g
e,x,g,f,c,n,p,e,e,w,w,p,w,o,p,n,u
e,f,y,t,w,n,p,t,b,w,w,p,w,o,p,n,d
e,b,w,t,c,b,g,e,c,w,w,p,w,o,p,n,m
e,f,y,t,w,n,w,t,b,w,w,p,w,o,p,n,d
e,x,n,t,c,b,p,e,r,w,w,p,w,o,p,k,p
e,b,y,t,c,b,k,e,c,w,w,p,w,o,p,k,g
e,f,y,t,w,n,p,t,b,w,w,p,w,o,p,n,d
e,x,w,t,w,n,n,t,b,w,w,p,w,o,p,u,d
e,f,n,t,c,b,p,e,r,w,w,p,w,o,p,n,p
p,x,n,t,c,n,w,e,e,w,w,p,w,o,p,n,u
e,f,n,t,c,b,n,e,r,w,w,p,w,o,p,n,g
e,x,n,f,w,b,k,t,e,w,w,p,w,o,e,n,g
p,x,w,t,c,n,w,e,e,w,w,p,w,o,p,k,g
e,f,g,f,c,n,n,e,e,w,w,p,w,o,p,n,u
e,x,g,f,w,b,n,t,e,w,w,p,w,o,e,n,g
e,x,y,t,c,b,w,e,r,w,w,p,w,o,p,k,g
e,x,n,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,b,w,t,c,b,w,e,c,w,w,p,w,o,p,k,g
e,x,w,t,c,b,n,e,c,w,w,p,w,o,p,n,g
e,f,n,t,c,b,w,e,r,w,w,p,w,o,p,k,g
e,s,n,f,c,n,n,e,e,w,w,p,w,o,p,n,u
e,x,n,f,c,n,n,e,e,w,w,p,w,o,p,n,u
e,b,w,t,c,b,k,e,c,w,w,p,w,o,p,k,g
e,x,y,t,c,b,g,e,c,w,w,p,w,o,p,k,g
e,x,y,t,c,b,g,e,c,w,w,p,w,o,p,k,m
e,x,n,f,w,b,n,t,e,w,w,p,w,o,e,n,g
e,x,w,t,c,b,g,e,c,w,w,p,w,o,p,n,g
e,f,n,t,c,b,p,e,r,w,w,p,w,o,p,n,g
e,x,y,t,c,b,n,e,c,w,w,p,w,o,p,k,g
e,b,w,t,c,b,g,e,c,w,w,p,w,o,p,n,g
e,x,w,t,c,b,g,e,c,w,w,p,w,o,p,k,g
e,x,n,f,w,b,p,t,e,w,w,p,w,o,e,k,g
e,b,y,t,c,b,n,e,c,w,w,p,w,o,p,k,g
e,f,y,t,c,b,w,e,r,w,w,p,w,o,p,n,g
e,x,y,t,c,b,n,e,r,w,w,p,w,o,p,k,p
e,b,w,t,c,b,g,e,c,w,w,p,w,o,p,n,g
e,x,y,t,c,b,n,e,c,w,w,p,w,o,p,k,m
e,x,y,t,c,b,w,e,r,w,w,p,w,o,p,n,g
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,k,m
e,b,w,t,c,b,g,e,c,w,w,p,w,o,p,n,m
e,x,y,t,c,b,k,e,c,w,w,p,w,o,p,k,m
e,x,y,t,c,b,w,e,c,w,w,p,w,o,p,k,g
e,s,g,f,c,n,g,e,e,w,w,p,w,o,p,k,u
e,x,w,t,w,n,w,t,b,w,w,p,w,o,p,u,d
e,x,y,t,c,b,n,e,c,w,w,p,w,o,p,k,m
p,x,w,t,c,n,n,e,e,w,w,p,w,o,p,n,u
e,x,y,t,c,b,p,e,r,w,w,p,w,o,p,n,g
e,s,g,f,c,n,p,e,e,w,w,p,w,o,p,n,u
e,x,y,t,c,b,w,e,r,w,w,p,w,o,p,k,g
e,x,y,t,w,n,p,t,b,w,w,p,w,o,p,u,d
e,s,n,f,c,n,k,e,e,w,w,p,w,o,p,n,u
p,x,w,t,c,n,k,e,e,w,w,p,w,o,p,k,g
e,x,w,t,c,b,g,e,c,w,w,p,w,o,p,n,m
p,f,n,t,c,n,p,e,e,w,w,p,w,o,p,k,g
e,f,g,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,x,y,t,c,b,g,e,c,w,w,p,w,o,p,n,m
e,x,w,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,b,y,t,c,b,w,e,c,w,w,p,w,o,p,n,g
e,f,g,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,x,w,t,c,b,n,e,c,w,w,p,w,o,p,k,g
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,n,m
e,b,w,t,c,b,w,e,c,w,w,p,w,o,p,n,g
e,b,w,t,c,b,w,e,c,w,w,p,w,o,p,n,m
e,f,w,t,w,n,w,t,b,w,w,p,w,o,p,u,d
e,x,y,t,c,b,g,e,c,w,w,p,w,o,p,k,m
e,f,w,t,w,n,p,t,b,w,w,p,w,o,p,n,d
p,x,w,t,c,n,w,e,e,w,w,p,w,o,p,n,u
e,f,w,t,w,n,w,t,b,w,w,p,w,o,p,n,d
e,x,y,t,c,b,n,e,c,w,w,p,w,o,p,n,g
p,x,n,t,c,n,p,e,e,w,w,p,w,o,p,n,g
e,b,y,t,c,b,w,e,c,w,w,p,w,o,p,n,g
e,x,n,t,c,b,w,e,r,w,w,p,w,o,p,k,p
e,b,y,t,c,b,g,e,c,w,w,p,w,o,p,k,m
e,s,n,f,c,n,k,e,e,w,w,p,w,o,p,n,u
e,f,n,t,c,b,w,e,r,w,w,p,w,o,p,k,p
e,x,y,t,c,b,k,e,c,w,w,p,w,o,p,k,g
e,x,g,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,f,w,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,x,y,t,c,b,w,e,c,w,w,p,w,o,p,n,m
e,b,y,t,c,b,k,e,c,w,w,p,w,o,p,k,g
e,b,w,t,c,b,g,e,c,w,w,p,w,o,p,k,m
e,x,w,t,c,b,w,e,c,w,w,p,w,o,p,n,g
e,x,n,f,w,b,p,t,e,w,w,p,w,o,e,n,g
e,x,w,t,c,b,g,e,c,w,w,p,w,o,p,n,g
e,s,n,f,c,n,k,e,e,w,w,p,w,o,p,k,u
e,x,w,t,w,n,w,t,b,w,w,p,w,o,p,u,d
e,x,n,t,c,b,w,e,r,w,w,p,w,o,p,k,g
e,b,y,t,c,b,k,e,c,w,w,p,w,o,p,n,g
e,x,w,t,c,b,k,e,c,w,w,p,w,o,p,n,g
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,k,m
e,b,y,t,c,b,g,e,c,w,w,p,w,o,p,k,g
e,b,y,t,c,b,g,e,c,w,w,p,w,o,p,k,m
e,b,y,t,c,b,n,e,c,w,w,p,w,o,p,k,g
e,x,n,f,c,n,k,e,e,w,w,p,w,o,p,n,u
e,f,n,t,c,b,n,e,r,w,w,p,w,o,p,n,g
e,x,w,t,c,b,k,e,c,w,w,p,w,o,p,n,g
e,f,y,t,c,b,w,e,r,w,w,p,w,o,p,n,p
e,b,w,t,c,b,w,e,c,w,w,p,w,o,p,n,g
e,b,w,t,c,b,w,e,c,w,w,p,w,o,p,k,m
e,x,n,t,c,b,w,e,r,w,w,p,w,o,p,k,g
e,b,w,t,c,b,k,e,c,w,w,p,w,o,p,k,g
e,x,g,f,c,n,g,e,e,w,w,p,w,o,p,n,u
e,b,y,t,c,b,k,e,c,w,w,p,w,o,p,n,g
e,x,y,t,w,n,n,t,b,w,w,p,w,o,p,u,d
e,b,y,t,c,b,w,e,c,w,w,p,w,o,p,k,g
e,f,y,t,c,b,p,e,r,w,w,p,w,o,p,n,g
e,b,w,t,c,b,w,e,c,w,w,p,w,o,p,k,m
e,b,w,t,c,b,k,e,c,w,w,p,w,o,p,k,m
e,b,y,t,c,b,g,e,c,w,w,p,w,o,p,n,g
e,x,y,t,c,b,g,e,c,w,w,p,w,o,p,n,m
e,b,y,t,c,b,g,e,c,w,w,p,w,o,p,n,g
p,x,w,t,c,n,p,e,e,w,w,p,w,o,p,n,u
e,s,n,f,c,n,g,e,e,w,w,p,w,o,p,n,u
e,f,n,f,c,n,g,e,e,w,w,p,w,o,p,k,u
e,x,y,t,c,b,g,e,c,w,w,p,w,o,p,n,m
e,f,n,t,c,b,p,e,r,w,w,p,w,o,p,k,p
p,x,w,t,c,n,k,e,e,w,w,p,w,o,p,k,g
e,b,w,t,c,b,g,e,c,w,w,p,w,o,p,n,m
e,f,g,f,c,n,p,e,e,w,w,p,w,o,p,k,u
e,b,y,t,c,b,g,e,c,w,w,p,w,o,p,n,g
e,x,n,t,c,b,w,e,r,w,w,p,w,o,p,n,p
e,x,w,f,w,b,p,t,e,w,w,p,w,o,e,k,g
e,x,w,t,w,n,w,t,b,w,w,p,w,o,p,n,d
e,b,w,t,c,b,w,e,c,w,w,p,w,o,p,n,m
e,f,y,t,w,n,w,t,b,w,w,p,w,o,p,n,d
e,x,y,t,c,b,k,e,c,w,w,p,w,o,p,n,m
e,f,g,f,c,n,g,e,e,w,w,p,w,o,p,n,u
e,b,y,t,c,b,n,e,c,w,w,p,w,o,p,k,g
e,x,w,t,c,b,g,e,c,w,w,p,w,o,p,n,m
e,x,w,t,c,b,n,e,c,w,w,p,w,o,p,n,m
e,f,w,t,w,n,n,t,b,w,w,p,w,o,p,n,d
e,x,y,t,c,b,w,e,c,w,w,p,w,o,p,n,g
e,b,w,t,c,b,w,e,c,w,w,p,w,o,p,k,g
e,x,w,t,c,b,g,e,c,w,w,p,w,o,p,k,g
e,x,w,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,f,n,t,c,b,n,e,r,w,w,p,w,o,p,k,p
p,x,w,t,c,n,k,e,e,w,w,p,w,o,p,n,u
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,n,g
e,b,w,t,c,b,k,e,c,w,w,p,w,o,p,k,m
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,n,g
e,b,w,t,c,b,w,e,c,w,w,p,w,o,p,k,g
e,x,y,t,c,b,w,e,c,w,w,p,w,o,p,k,g
e,b,w,t,c,b,w,e,c,w,w,p,w,o,p,k,m
e,x,y,t,w,n,n,t,b,w,w,p,w,o,p,n,d
e,x,g,f,c,n,n,e,e,w,w,p,w,o,p,n,u
e,f,y,t,c,b,n,e,r,w,w,p,w,o,p,n,g
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,k,m
e,x,y,t,c,b,g,e,c,w,w,p,w,o,p,k,g
e,x,y,t,c,b,k,e,c,w,w,p,w,o,p,k,g
e,x,w,t,c,b,w,e,c,w,w,p,w,o,p,n,g
e,s,g,f,c,n,p,e,e,w,w,p,w,o,p,n,u
e,x,w,t,c,b,n,e,c,w,w,p,w,o,p,n,m
p,x,w,t,c,n,k,e,e,w,w,p,w,o,p,k,g
e,x,y,t,c,b,n,e,r,w,w,p,w,o,p,n,g
e,f,w,t,w,n,p,t,b,w,w,p,w,o,p,n,d
e,x,w,t,c,b,g,e,c,w,w,p,w,o,p,k,m
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,k,g
e,x,w,t,c,b,g,e,c,w,w,p,w,o,p,n,g
e,x,y,t,c,b,g,e,c,w,w,p,w,o,p,n,g
p,x,n,t,c,n,p,e,e,w,w,p,w,o,p,k,u
e,b,y,t,c,b,n,e,c,w,w,p,w,o,p,n,g
e,x,g,f,c,n,n,e,e,w,w,p,w,o,p,k,u
p,x,w,t,c,n,k,e,e,w,w,p,w,o,p,k,u
e,x,y,t,c,b,n,e,r,w,w,p,w,o,p,n,p
e,f,n,f,c,n,k,e,e,w,w,p,w,o,p,k,u
e,b,w,t,c,b,k,e,c,w,w,p,w,o,p,n,g
e,x,w,t,w,n,w,t,b,w,w,p,w,o,p,n,d
e,x,w,t,c,b,w,e,c,w,w,p,w,o,p,k,g
e,b,y,t,c,b,n,e,c,w,w,p,w,o,p,n,g
e,x,y,t,c,b,n,e,r,w,w,p,w,o,p,k,g
e,f,y,t,c,b,p,e,r,w,w,p,w,o,p,k,p
e,f,y,t,c,b,w,e,r,w,w,p,w,o,p,k,p
e,x,w,t,c,b,w,e,c,w,w,p,w,o,p,k,g
e,x,w,t,c,b,w,e,c,w,w,p,w,o,p,n,m
p,x,w,t,c,n,n,e,e,w,w,p,w,o,p,k,u
e,f,w,t,w,n,p,t,b,w,w,p,w,o,p,u,d
e,x,w,t,c,b,w,e,c,w,w,p,w,o,p,n,g
e,x,w,t,w,n,p,t,b,w,w,p,w,o,p,u,d
e,x,w,t,c,b,n,e,c,w,w,p,w,o,p,k,m
e,f,y,t,c,b,w,e,r,w,w,p,w,o,p,k,p
e,x,n,f,w,b,p,t,e,w,w,p,w,o,e,k,g
e,f,y,t,c,b,w,e,r,w,w,p,w,o,p,n,g
p,x,n,t,c,n,p,e,e,w,w,p,w,o,p,n,g
e,s,n,f,c,n,g,e,e,w,w,p,w,o,p,n,u
e,b,y,t,c,b,w,e,c,w,w,p,w,o,p,n,m
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,n,g
e,b,w,t,c,b,k,e,c,w,w,p,w,o,p,n,m
e,f,n,f,c,n,k,e,e,w,w,p,w,o,p,n,u
e,x,w,t,c,b,w,e,c,w,w,p,w,o,p,k,m
e,b,w,t,c,b,g,e,c,w,w,p,w,o,p,k,g
e,b,w,t,c,b,g,e,c,w,w,p,w,o,p,n,m
e,f,n,t,c,b,w,e,r,w,w,p,w,o,p,n,g
p,x,w,t,c,n,k,e,e,w,w,p,w,o,p,k,g
e,x,w,t,c,b,n,e,c,w,w,p,w,o,p,n,g
e,x,w,t,c,b,n,e,c,w,w,p,w,o,p,n,m
e,f,w,t,w,n,w,t,b,w,w,p,w,o,p,u,d
e,f,g,f,c,n,g,e,e,w,w,p,w,o,p,k,u
e,f,g,f,w,b,p,t,e,w,w,p,w,o,e,k,g
e,x,y,t,c,b,g,e,c,w,w,p,w,o,p,n,m
e,b,w,t,c,b,k,e,c,w,w,p,w,o,p,n,m
p,f,n,t,c,n,w,e,e,w,w,p,w,o,p,k,u
e,x,w,t,c,b,n,e,c,w,w,p,w,o,p,k,m
p,f,n,t,c,n,w,e,e,w,w,p,w,o,p,k,u
e,x,w,t,c,b,k,e,c,w,w,p,w,o,p,n,g
e,x,y,t,c,b,k,e,c,w,w,p,w,o,p,n,m
e,f,y,t,c,b,n,e,r,w,w,p,w,o,p,n,p
e,x,n,t,c,b,w,e,r,w,w,p,w,o,p,n,p
e,f,n,t,c,b,w,e,r,w,w,p,w,o,p,n,g
e,x,w,t,c,b,w,e,c,w,w,p,w,o,p,n,m
e,f,n,f,w,b,h,t,e,w,w,p,w,o,e,k,g
e,x,y,t,c,b,k,e,c,w,w,p,w,o,p,n,m
p,x,w,t,c,n,w,e,e,w,w,p,w,o,p,n,g
e,b,y,t,c,b,n,e,c,w,w,p,w,o,p,n,m
e,s,n,f,c,n,p,e,e,w,w,p,w,o,p,n,u
e,x,y,t,c,b,k,e,c,w,w,p,w,o,p,k,m
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,k,m
e,f,n,t,c,b,n,e,r,w,w,p,w,o,p,k,g
e,b,y,t,c,b,g,e,c,w,w,p,w,o,p,k,m
e,b,w,t,c,b,g,e,c,w,w,p,w,o,p,k,g
e,x,n,t,c,b,n,e,r,w,w,p,w,o,p,n,p
e,f,g,f,c,n,p,e,e,w,w,p,w,o,p,n,u
e,x,g,f,c,n,g,e,e,w,w,p,w,o,p,k,u
e,b,y,t,c,b,n,e,c,w,w,p,w,o,p,k,g
e,x,y,t,c,b,n,e,c,w,w,p,w,o,p,k,m
e,b,w,t,c,b,k,e,c,w,w,p,w,o,p,n,g
e,x,w,t,c,b,g,e,c,w,w,p,w,o,p,k,m
e,b,y,t,c,b,g,e,c,w,w,p,w,o,p,n,m
e,x,y,t,c,b,k,e,c,w,w,p,w,o,p,k,m
e,x,g,f,w,b,p,t,e,w,w,p,w,o,e,k,g
e,f,y,t,w,n,p,t,b,w,w,p,w,o,p,n,d
p,x,w,t,c,n,p,e,e,w,w,p,w,o,p,k,g
e,x,w,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,b,w,t,c,b,w,e,c,w,w,p,w,o,p,k,g
e,x,y,t,w,n,w,t,b,w,w,p,w,o,p,n,d
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,k,g
e,x,w,t,c,b,g,e,c,w,w,p,w,o,p,k,g
e,x,n,t,c,b,p,t,b,g,p,p,w,o,p,n,d
e,b,w,t,c,b,k,e,c,w,w,p,w,o,p,n,m
e,x,y,t,c,b,g,e,c,w,w,p,w,o,p,n,m
e,f,n,t,c,b,p,e,r,w,w,p,w,o,p,k,g
e,x,w,f,w,b,n,t,e,w,w,p,w,o,e,n,g
e,x,y,t,c,b,w,e,c,w,w,p,w,o,p,k,g
p,x,w,t,c,n,n,e,e,w,w,p,w,o,p,n,g
e,x,y,t,c,b,n,e,c,w,w,p,w,o,p,k,g
e,x,w,t,w,n,p,t,b,w,w,p,w,o,p,n,d
e,b,y,t,c,b,g,e,c,w,w,p,w,o,p,n,g
p,x,w,t,c,n,k,e,e,w,w,p,w,o,p,k,u
e,x,y,t,w,n,w,t,b,w,w,p,w,o,p,n,d
e,x,w,t,c,b,k,e,c,w,w,p,w,o,p,k,m
e,x,w,t,w,n,n,t,b,w,w,p,w,o,p,n,d
e,f,w,t,w,n,w,t,b,w,w,p,w,o,p,n,d
e,x,y,t,c,b,k,e,c,w,w,p,w,o,p,n,m
e,f,y,t,w,n,w,t,b,w,w,p,w,o,p,u,d
e,x,w,t,c,b,w,e,c,w,w,p,w,o,p,k,g
e,b,y,t,c,b,n,e,c,w,w,p,w,o,p,k,m
e,x,n,t,c,b,p,e,r,w,w,p,w,o,p,n,p
e,b,w,t,c,b,k,e,c,w,w,p,w,o,p,k,g
e,x,y,t,c,b,n,e,c,w,w,p,w,o,p,n,m
p,x,n,t,c,n,n,e,e,w,w,p,w,o,p,n,u
e,b,y,t,c,b,w,e,c,w,w,p,w,o,p,k,g
e,b,w,t,c,b,g,e,c,w,w,p,w,o,p,k,g
p,x,n,t,c,n,w,e,e,w,w,p,w,o,p,k,u
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,k,m
e,b,y,t,c,b,w,e,c,w,w,p,w,o,p,n,m
e,b,y,t,c,b,n,e,c,w,w,p,w,o,p,k,g
e,x,w,t,c,b,g,e,c,w,w,p,w,o,p,n,g
e,x,n,t,c,b,p,t,b,p,w,p,w,o,p,k,d
e,x,n,t,c,b,w,e,r,w,w,p,w,o,p,k,g
e,b,y,t,c,b,n,e,c,w,w,p,w,o,p,n,g
e,x,g,f,c,n,g,e,e,w,w,p,w,o,p,n,u
e,x,n,t,c,b,n,e,r,w,w,p,w,o,p,k,g
e,x,w,t,c,b,k,e,c,w,w,p,w,o,p,n,g
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,k,g
e,x,y,t,c,b,g,e,c,w,w,p,w,o,p,k,m
e,f,y,t,w,n,p,t,b,w,w,p,w,o,p,n,d
e,b,y,t,c,b,g,e,c,w,w,p,w,o,p,n,g
e,x,n,f,w,b,n,t,e,w,w,p,w,o,e,n,g
e,x,y,t,w,n,n,t,b,w,w,p,w,o,p,n,d
e,x,y,t,c,b,n,e,c,w,w,p,w,o,p,n,m
e,f,g,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,x,n,f,c,n,g,e,e,w,w,p,w,o,p,n,u
e,f,g,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,f,n,t,c,b,p,e,r,w,w,p,w,o,p,n,p
e,b,w,t,c,b,k,e,c,w,w,p,w,o,p,n,g
e,b,y,t,c,b,k,e,c,w,w,p,w,o,p,k,m
e,x,y,t,c,b,w,e,r,w,w,p,w,o,p,k,p
e,s,g,f,c,n,g,e,e,w,w,p,w,o,p,n,u
e,f,n,t,c,b,p,e,r,w,w,p,w,o,p,n,p
p,x,n,t,c,n,k,e,e,w,w,p,w,o,p,k,u
e,x,y,t,c,b,p,e,r,w,w,p,w,o,p,n,p
e,x,y,t,c,b,w,e,c,w,w,p,w,o,p,n,g
e,x,n,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,x,n,f,w,b,p,t,e,w,w,p,w,o,e,k,g
e,f,n,f,w,b,k,t,e,w,w,p,w,o,e,k,g
e,f,n,t,c,b,n,e,r,w,w,p,w,o,p,n,p
e,x,y,t,c,b,w,e,c,w,w,p,w,o,p,k,g
e,f,n,f,c,n,p,e,e,w,w,p,w,o,p,k,u
e,x,y,t,c,b,w,e,r,w,w,p,w,o,p,n,p
e,x,y,t,w,n,p,t,b,w,w,p,w,o,p,u,d
e,b,y,t,c,b,g,e,c,w,w,p,w,o,p,n,g
e,x,g,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,x,y,t,c,b,w,e,r,w,w,p,w,o,p,n,g
e,f,n,t,c,b,n,e,r,w,w,p,w,o,p,k,g
e,x,y,t,c,b,w,e,c,w,w,p,w,o,p,k,m
e,s,n,f,c,n,n,e,e,w,w,p,w,o,p,n,u
e,x,w,t,c,b,k,e,c,w,w,p,w,o,p,k,m
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,k,g
e,s,n,f,c,n,k,e,e,w,w,p,w,o,p,k,u
e,b,y,t,c,b,n,e,c,w,w,p,w,o,p,n,m
e,x,y,t,c,b,k,e,c,w,w,p,w,o,p,n,g
e,b,y,t,c,b,k,e,c,w,w,p,w,o,p,n,g
p,x,n,t,c,n,p,e,e,w,w,p,w,o,p,k,u
e,x,w,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,x,w,t,c,b,w,e,c,w,w,p,w,o,p,k,m
e,b,w,t,c,b,g,e,c,w,w,p,w,o,p,n,g
e,x,n,t,c,b,n,t,b,g,w,p,w,o,p,n,d
p,x,n,t,c,n,w,e,e,w,w,p,w,o,p,n,u
e,x,n,t,c,b,w,e,r,w,w,p,w,o,p,k,p
e,x,n,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,b,y,t,c,b,n,e,c,w,w,p,w,o,p,k,m
e,x,y,t,c,b,w,e,c,w,w,p,w,o,p,n,m
e,b,y,t,c,b,n,e,c,w,w,p,w,o,p,n,m
e,x,y,t,c,b,g,e,c,w,w,p,w,o,p,k,m
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,n,g
e,x,g,f,c,n,k,e,e,w,w,p,w,o,p,n,u
e,f,n,t,c,b,w,e,r,w,w,p,w,o,p,k,g
e,x,g,f,w,b,h,t,e,w,w,p,w,o,e,n,g
e,x,w,t,c,b,k,e,c,w,w,p,w,o,p,n,m
e,x,y,t,c,b,w,e,c,w,w,p,w,o,p,n,m
e,x,g,f,c,n,n,e,e,w,w,p,w,o,p,k,u
p,x,n,t,c,n,p,e,e,w,w,p,w,o,p,n,u
e,b,w,t,c,b,w,e,c,w,w,p,w,o,p,n,g
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,k,m
p,x,n,t,c,n,p,e,e,w,w,p,w,o,p,n,u
e,b,y,t,c,b,w,e,c,w,w,p,w,o,p,n,m
e,x,w,t,c,b,k,e,c,w,w,p,w,o,p,n,m
